,IPC,LLC misses per 1K instr.,Mispred. branches per 1K instr.,IPC,LLC misses per 1K instr.,Mispred. branches per 1K instr.,IPC,LLC misses per 1K instr.,Mispred. branches per 1K instr.,IPC,LLC misses per 1K instr.,Mispred. branches per 1K instr.,IPC,LLC misses per 1K instr.,Mispred. branches per 1K instr.
Benchmark,ARM Cortex A57,ARM Cortex A57,ARM Cortex A57,ARM Cortex A53,ARM Cortex A53,ARM Cortex A53,Intel Atom N330,Intel Atom N330,Intel Atom N330,AMD Opteron 6172,AMD Opteron 6172,AMD Opteron 6172,Intel Xeon E3-1225 v3 ,Intel Xeon E3-1225 v3 ,Intel Xeon E3-1225 v3 
astar,0.53,12.85,21.397584,0.367772,13.822747,24.902633,0.154,13.433,18.211,0.515329,7.731617,14.96,0.822778,5.451436,13.023742
bwaves,0.82,19.49,2.659141,0.33973,19.635006,3.734367,0.434,0.396,3.008,0.904803,10.226316,3.04,2.301812,0.478806,0.850075
bzip2,1.06,1.88,12.621935,0.736333,3.446016,12.170353,0.362,3.364,12.680,1.11815,0.253462,11.6,1.494775,0.025455,10.029648
cactusADM,0.89,4.12,0.015683,0.461801,4.283024,0.020394,0.187,4.270,0.014,0.720721,3.699053,0.01,1.301383,1.309735,0.017901
calculix,1.00,0.68,1.434894,0.778498,0.771993,2.576514,0.402,0.482,0.974,1.649788,0.37087,0.91,2.175252,0.076567,0.594588
dealII,1.35,3.76,4.290517,0.682317,7.13853,7.573428,0.420,0.689,4.029,1.225068,3.073595,3.52,2.209427,0.579177,1.926522
gamess,1.82,0.00,1.934547,0.809238,0.0048,2.66142,0.459,0.053,2.915,1.790541,0.000083,1.94,2.80558,0.000119,0.62305
gcc,0.65,9.91,6.951673,0.460108,11.366849,10.80084,0.212,5.978,11.762,0.719319,5.171687,5.16,1.169864,2.698321,1.769892
GemsFDTD,0.50,38.11,0.273908,0.181364,36.971921,0.387054,0.205,3.730,0.085,0.91006,10.900879,0.09,1.371784,4.029063,0.053151
gobmk,0.99,0.59,21.817803,0.719535,0.647249,22.720703,0.413,0.768,31.131,0.999849,0.489466,20.17,1.232803,0.288418,13.626295
gromacs,1.11,0.66,2.516134,0.571185,0.774049,2.516524,0.329,0.469,1.899,0.94437,0.195304,1.72,1.718068,0.023117,1.586734
h264ref,1.66,0.74,1.847254,1.102447,1.543774,2.685906,0.640,0.585,2.063,1.541718,0.051767,1.64,2.827371,0.011613,0.954035
hmmer,2.50,0.76,0.097927,1.215972,1.622998,0.1175,0.644,0.223,0.171,1.805577,0.194622,0.15,2.22943,0.003488,0.139797
lbm,0.49,39.93,0.098788,0.306425,40.367072,0.073952,0.240,1.226,0.044,0.786504,24.760657,0.04,1.593893,3.264033,0.037583
leslie3d,0.51,29.34,1.062751,0.268066,33.501235,1.269422,0.248,1.138,0.257,1.275126,7.170086,0.26,2.55061,0.577117,0.252265
libquantum,1.06,31.96,4.34478,0.895938,31.921959,9.208596,0.469,0.406,3.548,1.116432,23.23941,3.44,2.217441,5.388053,0.45157
mcf,0.17,75.20,16.410564,0.103773,75.597684,16.236797,0.036,61.114,11.507,0.146193,47.560143,11.22,0.403364,29.213109,10.029465
milc,0.53,50.38,0.049719,0.282989,46.392759,0.103374,0.180,8.915,0.026,0.679021,27.616583,0.04,0.757551,18.989733,0.013107
namd,1.00,0.12,2.528101,0.694545,0.138273,2.93145,0.457,0.027,1.933,1.449377,0.064979,1.92,1.948649,0.012995,1.738464
omnetpp,0.38,21.36,6.690809,0.282184,26.16597,8.786898,0.095,21.048,14.515,0.416817,15.57529,6.3,0.497138,14.281957,3.776168
perlbench,1.29,0.89,5.896588,0.833048,0.91045,8.027465,0.524,0.952,16.088,1.401457,0.422053,6.34,2.229697,0.156954,3.109004
povray,1.05,0.00,6.142765,0.616809,0.003691,8.419089,0.392,0.027,10.986,1.280287,0.000318,5.08,2.220219,0.000036,1.261151
sjeng,1.13,0.43,14.848109,0.81561,0.415805,20.023023,0.506,0.641,26.973,1.116754,0.362316,15.95,1.631976,0.389918,6.694994
soplex,0.47,44.67,13.821335,0.239156,43.008058,13.712871,0.118,14.759,10.200,0.51072,18.876597,10.01,0.837117,7.921665,9.197106
tonto,1.04,1.63,2.471604,0.693047,2.131943,3.697202,0.435,0.555,2.806,1.271922,0.681432,2.34,2.014623,0.131824,0.565966
wrf,0.86,9.37,1.236397,0.49246,9.705583,2.095577,0.412,0.630,1.084,1.14209,5.64467,0.67,1.910003,0.625679,0.272766
xalancbmk,0.76,10.90,3.688311,0.518948,11.719202,8.505239,0.286,3.722,7.745,1.061698,3.187318,3.59,1.714368,1.912525,1.084734
zeusmp,0.89,6.11,0.321663,0.479493,6.627886,0.380759,0.238,2.399,0.539,0.940007,4.610987,0.46,1.748002,2.298216,0.367877
